Neighborhood_Tabulation_Area_(NTA)_(2020),count_of_Companies,Total_jobs_created,Total_average_saving
BK0101,78,16.0,10367.961794871795
BK0102,9,15.0,12599.753333333334
BK0103,7,0.0,19150.92285714286
BK0104,104,187.0,21158.253076923076
BK0201,11,0.0,15102.036363636364
BK0202,39,0.0,74011.2558974359
BK0203,8,300.0,54292.524999999994
BK0261,40,0.0,12876.958499999999
BK0301,12,8.0,57934.14166666666
BK0401,7,14.0,6128.9400000000005
BK0502,21,0.0,13810.223333333333
BK0503,27,415.0,62669.078888888886
BK0504,6,0.0,35063.956666666665
BK0601,84,97.0,25358.179523809526
BK0702,259,92.0,17596.18857142857
BK0802,44,0.0,3620.966590909091
BK1202,7,13.0,9642.914285714285
BK1403,7,0.0,388946.3071428571
BK1602,18,55.0,-3744.1044444444437
BK1702,9,22.0,37681.06555555555
BK1803,9,25.0,14783.474444444444
BX0101,58,106.0,17226.212931034483
BX0201,119,133.0,21078.529495798317
BX0302,10,21.0,36005.304000000004
BX0703,10,0.0,327206.672
BX1001,17,20.0,10510.395882352941
BX1102,8,0.0,726343.1799999999
BX1161,9,400.0,13164.977777777778
BX1202,7,0.0,20566.815714285713
MN0101,30,0.0,431063.85866666667
MN0102,15,4.0,47655.74800000001
MN0401,16,10.0,16967.113125
MN0501,6,8.0,17841.953333333335
MN0502,10,0.0,33844.037
MN0902,49,10.0,2398.261224489796
MN1102,16,8.0,8909.400625
QN0101,37,100.0,14292.983783783784
QN0103,16,2.0,14084.895625
QN0104,11,23.0,25843.476363636364
QN0105,87,105.0,59201.95804597701
QN0161,20,0.0,2489.384
QN0201,176,78.0,27410.526875000003
QN0202,174,125.0,13586.924022988505
QN0203,22,10.0,6549.47090909091
QN0261,7,60.0,3965.347142857143
QN0402,11,10.0,18855.50909090909
QN0501,69,195.0,13278.137101449274
QN0502,17,3.0,11908.803529411765
QN0503,10,10.0,5468.0599999999995
QN0701,44,120.0,33604.16977272727
QN0707,16,0.0,17201.287500000002
QN0902,11,6.0,11662.949090909091
QN0904,12,0.0,1739.5158333333336
QN1002,9,0.0,6022.731111111111
QN1201,11,20.0,7259.248181818181
QN1205,9,0.0,27353.428888888888
QN1303,10,10.0,3592.2110000000002
QN1306,25,0.0,21160.5052
SI0106,7,10.0,6338.2528571428575
SI0107,15,300.0,113610.15999999999
SI0204,12,0.0,605464.8391666667
